"","PlayerName","pos","points","marg","value"
"1","Adrian Peterson","rb",201.42,93.215,60.6219276128874
"2","Todd Gurley","rb",198.005,89.8,58.4376344969939
"3","Antonio Brown","wr",146.74,86.945,56.6115270750683
"4","Jamaal Charles","rb",190.29,82.085,53.5029869452756
"5","Odell Beckham Jr.","wr",138.855,79.06,51.5681445805383
"6","Cam Newton","qb",330.632,77.8640000000001,50.8031622769926
"7","David Johnson","rb",183.78,75.575,49.3390782528988
"8","Lamar Miller","rb",181.915,73.71,48.1461919685236
"9","Aaron Rodgers","qb",325.986,73.218,47.8315002516804
"10","Julio Jones","wr",132.535,72.74,47.5257631771864
"11","DeAndre Hopkins","wr",128.56,68.765,44.983284367325
"12","Ezekiel Elliott","rb",172.825,64.62,42.332070614652
"13","Russell Wilson","qb",317.156,64.388,42.1836793985795
"14","Le'Veon Bell","rb",170.18,61.975,40.6402828279643
"15","Dez Bryant","wr",120.155,60.36,39.6073008712534
"16","A.J. Green","wr",116.775,56.98,37.4453943612329
"17","Eddie Lacy","rb",164.77,56.565,37.1799531773102
"18","Rob Gronkowski","te",114.95,56.065,36.8601445219818
"19","LeSean McCoy","rb",164.065,55.86,36.7290229732971
"20","Jordy Nelson","wr",114.615,54.82,36.0638209702139
"21","Devonta Freeman","rb",162.295,54.09,35.5969003334343
"22","Doug Martin","rb",161.83,53.625,35.2994782839788
"23","Mark Ingram","rb",160.26,52.0549999999999,34.2952791062474
"24","Thomas Rawls","rb",158.4,50.195,33.1055909084255
"25","Allen Robinson","wr",109.28,49.485,32.6514626178591
"26","Alshon Jeffery","wr",108.915,49.12,32.4180022994693
"27","Andrew Luck","qb",301.58,48.812,32.2210001677869
"28","Brandon Marshall","wr",105.195,45.4,30.0386259038254
"29","Sammy Watkins","wr",104.38,44.585,29.51733779564
"30","Mike Evans","wr",103.93,44.135,29.2295100058444
"31","T.Y. Hilton","wr",103.875,44.08,29.1943310537583
"32","Brandin Cooks","wr",103.055,43.26,28.6698448590196
"33","C.J. Anderson","rb",150.68,42.475,28.1677452701538
"34","Randall Cobb","wr",100.625,40.83,27.1155747941232
"35","Drew Brees","qb",293.022,40.254,26.7471552231848
"36","Demaryius Thomas","wr",98.515,38.72,25.765982268637
"37","Keenan Allen","wr",98.33,38.535,25.6476530661655
"38","Carlos Hyde","rb",145.47,37.265,24.8353390816312
"39","Amari Cooper","wr",97.015,37.22,24.8065563026516
"40","Jonathan Stewart","rb",144.01,35.805,23.901497808072
"41","Latavius Murray","rb",143.575,35.37,23.6232642779362
"42","Doug Baldwin","wr",95.07,35.275,23.5625006334238
"43","Kelvin Benjamin","wr",94.98,35.185,23.5049350754647
"44","Eric Decker","wr",94.74,34.945,23.351426920907
"45","Jeremy Maclin","wr",94.075,34.28,22.9260814093202
"46","Jeremy Hill","rb",139.83,31.625,21.227897449526
