"","PlayerName","pos","points","marg","value"
"1","Aaron Rodgers","qb",395.586,109.592,95.6699385601394
"2","Cam Newton","qb",384.832,98.838,86.3802046445641
"3","Russell Wilson","qb",374.956,88.9619999999999,77.8489221310599
"4","Andrew Luck","qb",366.98,80.9859999999999,70.9589353623572
"5","Adrian Peterson","rb",201.42,74.095,65.0062148479226
"6","Antonio Brown","wr",146.74,71.81,63.0323407548326
"7","Todd Gurley","rb",198.005,70.68,62.0562017066086
"8","Drew Brees","qb",356.022,70.028,61.4929781141821
"9","Odell Beckham Jr.","wr",138.855,63.925,56.2209634139072
"10","Jamaal Charles","rb",190.29,62.965,55.3916771428497
"11","Julio Jones","wr",132.535,57.605,50.7614954627786
"12","David Johnson","rb",183.78,56.455,49.768079617241
"13","Lamar Miller","rb",181.915,54.59,48.1570182677386
"14","Rob Gronkowski","te",114.95,54.305,47.9108239060184
"15","Ben Roethlisberger","qb",340.088,54.094,47.7285536943589
"16","DeAndre Hopkins","wr",128.56,53.63,47.3277319966811
"17","Carson Palmer","qb",334.408,48.414,42.8219432572687
"18","Ezekiel Elliott","rb",172.825,45.5,40.3047138886629
"19","Dez Bryant","wr",120.155,45.225,40.0671579255995
"20","Le'Veon Bell","rb",170.18,42.855,38.0198574439263
"21","Blake Bortles","qb",327.998,42.0039999999999,37.2847297182284
"22","A.J. Green","wr",116.775,41.845,37.1473791795846
"23","Jordy Nelson","wr",114.615,39.685,35.2814850697052
"24","Eli Manning","qb",324.79,38.796,34.5135314291113
"25","Eddie Lacy","rb",164.77,37.445,33.346483770571
"26","Philip Rivers","qb",323.424,37.43,33.3335261725858
"27","LeSean McCoy","rb",164.065,36.74,32.7374766652632
"28","Devonta Freeman","rb",162.295,34.97,31.2084801030009
"29","Doug Martin","rb",161.83,34.505,30.8067945654574
"30","Allen Robinson","wr",109.28,34.35,30.6728993862763
"31","Alshon Jeffery","wr",108.915,33.985,30.3575978353013
"32","Mark Ingram","rb",160.26,32.935,29.4505659763321
"33","Thomas Rawls","rb",158.4,31.075,27.8438238261582
"34","Brandon Marshall","wr",105.195,30.265,27.1441135349535
"35","Sammy Watkins","wr",104.38,29.45,26.4400840444203
"36","Mike Evans","wr",103.93,29,26.0513561048621
"37","T.Y. Hilton","wr",103.875,28.945,26.0038449122494
"38","Brandin Cooks","wr",103.055,28.125,25.2954962223878
"39","Randall Cobb","wr",100.625,25.695,23.1963653487735
"40","Greg Olsen","te",86.065,25.42,22.9588093857101
"41","Kirk Cousins","qb",311.308,25.314,22.8672423599476
"42","Tony Romo","qb",310.968,24.974,22.5735368056147
"43","Andy Dalton","qb",310.57,24.576,22.2297285390721
"44","Jordan Reed","te",84.965,24.32,22.0085855334567
"45","Tyrod Taylor","qb",309.618,23.624,21.40735298694
"46","Demaryius Thomas","wr",98.515,23.585,21.3736632321783
"47","Keenan Allen","wr",98.33,23.4,21.2138528570266
"48","C.J. Anderson","rb",150.68,23.355,21.1749800630708
"49","Matthew Stafford","qb",309.338,23.3439999999999,21.1654778245482
"50","Derek Carr","qb",308.99,22.9959999999999,20.8648615512899
"51","Amari Cooper","wr",97.015,22.085,20.077903433651
"52","Doug Baldwin","wr",95.07,20.14,18.3977348948939
"53","Kelvin Benjamin","wr",94.98,20.05,18.3199893069822
"54","Eric Decker","wr",94.74,19.81,18.1126677392178
"55","Jeremy Maclin","wr",94.075,19.145,17.5382142285374
"56","Carlos Hyde","rb",145.47,18.145,16.6743743628525
"57","Jameis Winston","qb",303.206,17.212,15.8684117681685
"58","Jonathan Stewart","rb",144.01,16.685,15.4131681589525
"59","Latavius Murray","rb",143.575,16.25,15.0373978173796
"60","Michael Floyd","wr",90.74,15.81,14.6573082764783
"61","Ryan Fitzpatrick","qb",301.148,15.1539999999999,14.0906293245889
"62","Julian Edelman","wr",89.285,14.355,13.4004212719067
"63","Jarvis Landry","wr",88.405,13.475,12.640242190104
"64","Matt Ryan","qb",299.37,13.376,12.5547220434012
"65","Ryan Tannehill","qb",299.28,13.286,12.4769764554896
"66","Larry Fitzgerald","wr",87.635,12.705,11.9750854935266
"67","Jeremy Hill","rb",139.83,12.505,11.8023175203897
"68","Delanie Walker","te",72.665,12.02,11.3833551855325
"69","Golden Tate","wr",86.89,11.96,11.3315247935914
"70","Jordan Matthews","wr",86.43,11.5,10.9341584553763
"71","Matt Forte","rb",138.575,11.25,10.7181984889551
"72","Coby Fleener","te",71.69,11.045,10.5411113164897
"73","DeMarco Murray","rb",138.03,10.705,10.2474057621568
"74","Travis Kelce","te",71.16,10.515,10.0832761876767
"75","DeSean Jackson","wr",84.675,9.745,9.41811949109934
"76","Donte Moncrief","wr",82.625,7.69499999999999,7.64724776644529
"77","Tyler Eifert","te",68.155,7.51,7.48743739129359
"78","Antonio Gates","te",67.815,7.16999999999999,7.19373183696072
"79","John Brown","wr",81.965,7.035,7.07711345509326
"80","Emmanuel Sanders","wr",81.545,6.61499999999999,6.7143007115056
"81","Gary Barnidge","te",66.94,6.29499999999999,6.43787195448643
"82","Matt Jones","rb",133.11,5.78500000000001,5.99731362298715
"83","Allen Hurns","wr",80.5,5.56999999999999,5.81158805186488
"84","Alex Smith","qb",290.992,4.99799999999993,5.31747164869307
"85","Ladarius Green","te",64.93,4.285,4.7015538244598
"86","Michael Crabtree","wr",78.87,3.94,4.4035290707985
"87","Devante Parker","wr",78.865,3.935,4.39920987147008
"88","Jimmy Graham","te",63.495,2.84999999999999,3.46194361720195
"89","Ryan Mathews","rb",129.865,2.54000000000001,3.19415325883965
"90","Tom Brady","qb",288.084,2.08999999999997,2.80542531928142
"91","Joe Flacco","qb",287.612,1.61799999999994,2.39769290267811
"92","Jeremy Langford","rb",128.92,1.59500000000001,2.37782458576743
"93","Marcus Mariota","qb",285.994,0,1
"94","Frank Gore","rb",127.325,0,1
"95","Stefon Diggs","wr",74.93,0,1
"96","Jason Witten","te",60.645,0,1
"97","Torrey Smith","wr",74.72,-0.210000000000008,0
"98","Zach Miller","te",60.385,-0.259999999999998,0
"99","Julius Thomas","te",60.185,-0.460000000000001,0
"100","Dwayne Allen","te",60.04,-0.605000000000011,0
"101","Zach Ertz","te",58.885,-1.76,0
"102","Martellus Bennett","te",58.555,-2.09,0
"103","Marvin Jones","wr",71.775,-3.155,0
"104","Melvin Gordon","rb",123.65,-3.67499999999998,0
"105","Tavon Austin","wr",70.58,-4.35000000000001,0
"106","Tyler Lockett","wr",70.565,-4.36500000000001,0
"107","Kevin White","wr",70.335,-4.595,0
"108","Jay Cutler","qb",280.378,-5.61599999999999,0
"109","Eric Ebron","te",53.625,-7.02,0
"110","Vincent Jackson","wr",67.145,-7.785,0
"111","Ameer Abdullah","rb",119.245,-8.08,0
"112","Brock Osweiler","qb",277.672,-8.32199999999995,0
"113","Charles Clay","te",51.315,-9.33,0
"114","Sterling Shepard","wr",65.175,-9.75500000000001,0
